,Nome,CNPJ/CPF,Valor Empenhado,Valor Em Liquidação,Valor Liquidado,Valor Pago,Valor Anulado,ano,download_status
0,4LINUX SOFTWARE E COMERCIO DE PROGRAMAS LTDA,04.491.152/0001-95,"R$ 1.500,00","R$ 0,00","R$ 1.500,00","R$ 1.500,00","R$ 0,00",2016,1
1,8 CULT ARTE VIDEO E REALIZACOES LTDA,11.357.255/0001-22,"R$ 3.500,00","R$ 0,00","R$ 3.500,00","R$ 3.500,00","R$ 0,00",2016,1
2,95 GRUPO DE ESCOTEIRO JOSE PASSOS DE SOUZA,01.075.039/0001-30,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2016,0
3,A & I UTILIDADES DO LAR LTDA,04.809.615/0001-14,"R$ 7.705,29","R$ 0,00","R$ 7.705,29","R$ 7.705,29","R$ 0,00",2016,1
4,A. AREAS CONSERVACAO E LIMPEZA,04.072.074/0001-94,"R$ 34,12","R$ 0,00","R$ 0,00","R$ 0,00","R$ 34,12",2016,1
5,A. L. COMERCIO E SERVICOS LTDA-ME,10.980.954/0001-61,"R$ 241.624,50","R$ 0,00","R$ 215.122,50","R$ 110.497,50","R$ 26.502,00",2016,1
6,A. R. MORAES SERVIÇOS M.E.,11.653.563/0001-03,"R$ 171.072,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 171.072,00",2016,1
7,A.J. MUNIZ EVENTOS - ME,20.022.382/0001-61,"R$ 4.590,00","R$ 0,00","R$ 4.590,00","R$ 4.590,00","R$ 0,00",2016,1
8,A.P.VALLIENGO MONITORAÇÃO-ME,10.584.488/0001-03,"R$ 785,94","R$ 0,00","R$ 523,96","R$ 523,96","R$ 0,00",2016,1
9,AAE C.M. BOTAFOGO,999.999.999-99,"R$ 29.850,00","R$ 0,00","R$ 29.850,00","R$ 29.430,58","R$ 0,00",2016,1
10,AAE C.M. ELZA IBRAHIM,10.420.037/0001-22,"R$ 35.880,00","R$ 0,00","R$ 35.880,00","R$ 35.880,00","R$ 0,00",2016,1
11,AAE CIEP - 371 - BARRA DE MACAE,999.999.999-99,"R$ 39.360,00","R$ 0,00","R$ 39.360,00","R$ 39.153,40","R$ 0,00",2016,1
12,AAE CIEP 058 - OSCAR CORDEIRO,01.147.320/0001-31,"R$ 29.280,00","R$ 0,00","R$ 29.280,00","R$ 29.280,00","R$ 0,00",2016,1
13,AAE COL. MUN. NEUZA GOULART BRIZOLA,08.154.966/0001-95,"R$ 16.380,00","R$ 0,00","R$ 16.380,00","R$ 16.380,00","R$ 0,00",2016,1
14,AAE COLEGIO ESTADUAL MUNICIPAL RAUL VEIGA,999.999.999-99,"R$ 9.390,00","R$ 0,00","R$ 9.390,00","R$ 9.390,00","R$ 0,00",2016,1
15,AAE COLEGIO MUN. PROF. SAMUEL BRUST,01.869.121/0001-37,"R$ 27.960,00","R$ 0,00","R$ 27.960,00","R$ 27.814,67","R$ 0,00",2016,1
16,AAE COLEGIO MUNICIPAL JOAQUIM AUGUSTO BORGES,999.999.999-99,"R$ 8.460,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.460,00",2016,1
17,AAE COLEGIO MUNICIPAL TARCISIO PAES DE FIGUEIREDO,999.999.999-99,"R$ 8.460,00","R$ 0,00","R$ 8.460,00","R$ 8.460,00","R$ 0,00",2016,1
18,AAE DO CIEP MARINGA,999.999.999-99,"R$ 32.040,00","R$ 0,00","R$ 32.040,00","R$ 32.040,00","R$ 0,00",2016,1
19,AAE E.M. CHRISTOS JEAN KOUSOULAS,06.369.007/0001-61,"R$ 13.470,00","R$ 0,00","R$ 13.470,00","R$ 13.470,00","R$ 0,00",2016,1
20,AAE E.M. MARIA ISABEL DAMASCENO,06.374.120/0001-35,"R$ 30.570,00","R$ 0,00","R$ 30.570,00","R$ 30.570,00","R$ 0,00",2016,1
21,AAE E.M. PROF. ANTONIO ALVAREZ PARADA,999.999.999-99,"R$ 27.840,00","R$ 0,00","R$ 16.260,00","R$ 16.260,00","R$ 11.580,00",2016,1
22,AAE EST. MUNIC. NOSSO SENHOR DOS PASSOS,01.178.062/0001-50,"R$ 5.160,00","R$ 0,00","R$ 5.160,00","R$ 4.926,69","R$ 0,00",2016,1
23,AAE EST. MUNICIPALIZADA CORREGO DO OURO,01.872.426/0001-06,"R$ 7.050,00","R$ 0,00","R$ 7.050,00","R$ 6.800,23","R$ 0,00",2016,1
24,AAE ESTADUAL MUN. CAROLINA C. BENJAMIN,999.999.999-99,"R$ 39.240,00","R$ 0,00","R$ 39.240,00","R$ 39.240,00","R$ 0,00",2016,1
25,AAE ESTADUAL MUN. FAZENDA SANTA MARIA,999.999.999-99,"R$ 5.610,00","R$ 0,00","R$ 5.610,00","R$ 5.526,71","R$ 0,00",2016,1
26,AAE ESTADUAL MUN. JACYRA TAVARES DURVAL,01.877.498/0001-38,"R$ 13.650,00","R$ 0,00","R$ 13.650,00","R$ 13.650,00","R$ 0,00",2016,1
27,AAE ESTADUAL MUNIC. CAETANO DIAS,999.999.999-99,"R$ 8.580,00","R$ 0,00","R$ 8.580,00","R$ 8.580,00","R$ 0,00",2016,1
28,AAE ESTADUAL MUNICIPALIZADA CAETANO DIAS,01.860.028/0001-61,"R$ 0,00","R$ 0,00","R$ 0,00","R$ -101,62","R$ 0,00",2016,0
29,AAE ESTADUAL MUNICIPALIZADA FANTINA DE MELO,999.999.999-99,"R$ 5.640,00","R$ 0,00","R$ 5.640,00","R$ 5.616,34","R$ 0,00",2016,1
30,AAE ESTADUAL MUNICIPALIZADA POLIVALENTE A. TEIXEIR,999.999.999-99,"R$ 27.660,00","R$ 0,00","R$ 27.660,00","R$ 27.586,12","R$ 0,00",2016,1
31,AAE JARDIM DE INF. ANA BENEDICTA DA S. SANTOS,999.999.999-99,"R$ 12.540,00","R$ 0,00","R$ 12.540,00","R$ 12.540,00","R$ 0,00",2016,1
32,AAE JARDIM DE INFANCIA VIRGEM SANTA,999.999.999-99,"R$ 0,00","R$ 0,00","R$ 0,00","R$ -134,00","R$ 0,00",2016,0
33,AAE M. PRE ESCOLAR ALMIR F. LAPA,05.730.287/0001-29,"R$ 16.680,00","R$ 0,00","R$ 16.680,00","R$ 16.680,00","R$ 0,00",2016,1
34,AAE M. PROFª LETICIA PECANHA DE AGUIAR,08.817.555/0001-32,"R$ 13.710,00","R$ 0,00","R$ 13.710,00","R$ 13.710,00","R$ 0,00",2016,1
35,AAE MARIA LETICIA DE CARVALHO,999.999.999-99,"R$ 38.310,00","R$ 0,00","R$ 38.310,00","R$ 38.310,00","R$ 0,00",2016,1
36,AAE MEI AFONSO CORREA SABINO,21.969.622/0001-00,"R$ 5.190,00","R$ 0,00","R$ 5.190,00","R$ 5.126,44","R$ 0,00",2016,1
37,AAE MEI PROFa CANDIDA MARIA DA SILVA VIEIRA,11.948.654/0001-68,"R$ 5.370,00","R$ 0,00","R$ 5.370,00","R$ 5.370,00","R$ 0,00",2016,1
38,AAE MEI PROFESSORA HILDA RAMOS MACHADO,999.999.999-99,"R$ 23.160,00","R$ 0,00","R$ 23.160,00","R$ 23.160,00","R$ 0,00",2016,1
39,AAE MEI THEREZINHA LOURENCO DA SILVA,16.785.415/0001-58,"R$ 1.800,00","R$ 0,00","R$ 1.800,00","R$ 1.800,00","R$ 0,00",2016,1
40,AAE MUNIC. JOAQUIM LUIZ FREIRE PINHEIRO-COD 10707,999.999.999-99,"R$ 6.480,00","R$ 0,00","R$ 5.400,00","R$ 5.334,81","R$ 1.080,00",2016,1
41,AAE MUNICIPAL ALMIR FRANCISCO LAPA,999.999.999-99,"R$ 16.680,00","R$ 0,00","R$ 16.497,00","R$ 16.497,00","R$ 183,00",2016,1
42,AAE MUNICIPAL AMIL TANOS,999.999.999-99,"R$ 12.990,00","R$ 0,00","R$ 12.990,00","R$ 12.664,60","R$ 0,00",2016,1
43,AAE MUNICIPAL BALNEARIO LAGOMAR,999.999.999-99,"R$ 32.700,00","R$ 0,00","R$ 32.700,00","R$ 32.700,00","R$ 0,00",2016,1
44,AAE MUNICIPAL DA AROEIRA,999.999.999-99,"R$ 19.800,00","R$ 0,00","R$ 19.800,00","R$ 19.426,91","R$ 0,00",2016,1
45,AAE MUNICIPAL DE ALFABETIZACAO,999.999.999-99,"R$ 15.900,00","R$ 0,00","R$ 15.900,00","R$ 15.767,31","R$ 0,00",2016,1
46,AAE MUNICIPAL DO SANA,999.999.999-99,"R$ 12.000,00","R$ 0,00","R$ 12.000,00","R$ 12.000,00","R$ 0,00",2016,1
47,AAE MUNICIPAL DOLORES GARCIA RODRIGUES,05.017.825/0001-32,"R$ 5.790,00","R$ 0,00","R$ 5.790,00","R$ 0,00","R$ 0,00",2016,1
48,AAE MUNICIPAL ENGENHO DA PRAIA,999.999.999-99,"R$ 23.820,00","R$ 0,00","R$ 23.820,00","R$ 23.673,43","R$ 0,00",2016,1
49,AAE MUNICIPAL ERALDO MUSSI,999.999.999-99,"R$ 16.710,00","R$ 0,00","R$ 16.710,00","R$ 16.710,00","R$ 0,00",2016,1
50,AAE MUNICIPAL INTERAGIR,999.999.999-99,"R$ 22.500,00","R$ 0,00","R$ 22.444,56","R$ 22.425,87","R$ 55,44",2016,1
51,AAE MUNICIPAL IVETE SANTANA DRUMOND DE AGUIAR,01.881.154/0001-00,"R$ 6.342,00","R$ 0,00","R$ 4.530,00","R$ 4.500,38","R$ 1.812,00",2016,1
52,AAE MUNICIPAL JOAQUIM BREVES,999.999.999-99,"R$ 2.190,00","R$ 0,00","R$ 2.190,00","R$ 2.128,01","R$ 0,00",2016,1
53,AAE MUNICIPAL JOFFRE FROSSARD,999.999.999-99,"R$ 10.920,00","R$ 0,00","R$ 10.920,00","R$ 10.920,00","R$ 0,00",2016,1
54,AAE MUNICIPAL JOSE CALIL FILHO,01.847.301/0001-18,"R$ 13.470,00","R$ 0,00","R$ 13.326,00","R$ 12.890,35","R$ 144,00",2016,1
55,AAE MUNICIPAL LIONS,999.999.999-99,"R$ 0,00","R$ 0,00","R$ 0,00","R$ -202,88","R$ 0,00",2016,0
56,AAE MUNICIPAL MARIA LETICIA S. CARVALHO,999.999.999-99,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",2016,0
57,AAE MUNICIPAL OLGA BENARIO PRESTES,23.961.249/0001-69,"R$ 37.440,00","R$ 0,00","R$ 37.440,00","R$ 37.440,00","R$ 0,00",2016,1
58,AAE MUNICIPAL ONILDA MARIA DA COSTA,20.194.142/0001-44,"R$ 15.540,00","R$ 0,00","R$ 15.540,00","R$ 15.256,95","R$ 0,00",2016,1
59,AAE MUNICIPAL PARQUE AEROPORTO,999.999.999-99,"R$ 37.590,00","R$ 0,00","R$ 37.590,00","R$ 37.590,00","R$ 0,00",2016,1
60,AAE MUNICIPAL PAULO FREIRE,21.297.428/0001-18,"R$ 54.420,00","R$ 0,00","R$ 54.420,00","R$ 54.420,00","R$ 0,00",2016,1
61,AAE MUNICIPAL PEDRO ADAMI,999.999.999-99,"R$ 34.560,00","R$ 0,00","R$ 34.560,00","R$ 34.560,00","R$ 0,00",2016,1
